method,stress_level,task_success
confidence_threshold_shared_control,0.00,0.234167
confidence_threshold_shared_control,0.20,0.157500
confidence_threshold_shared_control,0.40,0.117500
confidence_threshold_shared_control,0.60,0.070000
confidence_threshold_shared_control,0.80,0.022500
confidence_threshold_shared_control,1.00,0.005000
bayesian_authority_allocation,0.00,0.417500
bayesian_authority_allocation,0.20,0.325000
bayesian_authority_allocation,0.40,0.255000
bayesian_authority_allocation,0.60,0.200833
bayesian_authority_allocation,0.80,0.167500
bayesian_authority_allocation,1.00,0.140833
cbf_safety_filter,0.00,0.525000
cbf_safety_filter,0.20,0.474167
cbf_safety_filter,0.40,0.418333
cbf_safety_filter,0.60,0.331667
cbf_safety_filter,0.80,0.297500
cbf_safety_filter,1.00,0.276667
mpc_risk_arbitration,0.00,0.570000
mpc_risk_arbitration,0.20,0.485833
mpc_risk_arbitration,0.40,0.434167
mpc_risk_arbitration,0.60,0.365000
mpc_risk_arbitration,0.80,0.305833
mpc_risk_arbitration,1.00,0.294167
pomdp_handoff_policy,0.00,0.463333
pomdp_handoff_policy,0.20,0.432500
pomdp_handoff_policy,0.40,0.361667
pomdp_handoff_policy,0.60,0.296667
pomdp_handoff_policy,0.80,0.280833
pomdp_handoff_policy,1.00,0.244167
recovery_aware_mpc,0.00,0.567500
recovery_aware_mpc,0.20,0.480833
recovery_aware_mpc,0.40,0.423333
recovery_aware_mpc,0.60,0.377500
recovery_aware_mpc,0.80,0.328333
recovery_aware_mpc,1.00,0.302500
authority_boundary_v5,0.00,0.481667
authority_boundary_v5,0.20,0.392500
authority_boundary_v5,0.40,0.341667
authority_boundary_v5,0.60,0.264167
authority_boundary_v5,0.80,0.249167
authority_boundary_v5,1.00,0.206667
