split,ablation,metric,mean,ci95,n
combined_authority_stress,confidence_only_boundary,task_success,0.122024,0.017326,10
combined_authority_stress,confidence_only_boundary,safety_violation,0.310119,0.021261,10
combined_authority_stress,confidence_only_boundary,authority_regret,0.466759,0.000597,10
combined_authority_stress,confidence_only_boundary,human_burden,0.843535,0.000850,10
combined_authority_stress,confidence_only_boundary,late_handoff,0.430027,0.000903,10
combined_authority_stress,confidence_only_boundary,handoff_churn,0.517739,0.001034,10
combined_authority_stress,confidence_only_boundary,recovery_success,0.330742,0.000928,10
combined_authority_stress,confidence_only_boundary,intervention_cost,0.355480,0.000354,10
combined_authority_stress,confidence_only_boundary,boundary_calibration_error,0.352398,0.000762,10
combined_authority_stress,confidence_only_boundary,override_precision,0.324665,0.000827,10
combined_authority_stress,confidence_only_boundary,unsafe_autonomy,0.063702,0.000097,10
combined_authority_stress,confidence_only_boundary,robust_utility,-0.529410,0.022861,10
combined_authority_stress,full_authority_boundary_v5,task_success,0.311905,0.020445,10
combined_authority_stress,full_authority_boundary_v5,safety_violation,0.220238,0.015940,10
combined_authority_stress,full_authority_boundary_v5,authority_regret,0.333086,0.000820,10
combined_authority_stress,full_authority_boundary_v5,human_burden,0.709123,0.001670,10
combined_authority_stress,full_authority_boundary_v5,late_handoff,0.341413,0.000933,10
combined_authority_stress,full_authority_boundary_v5,handoff_churn,0.457461,0.000599,10
combined_authority_stress,full_authority_boundary_v5,recovery_success,0.604682,0.000661,10
combined_authority_stress,full_authority_boundary_v5,intervention_cost,0.380433,0.000705,10
combined_authority_stress,full_authority_boundary_v5,boundary_calibration_error,0.281905,0.000469,10
combined_authority_stress,full_authority_boundary_v5,override_precision,0.504476,0.000607,10
combined_authority_stress,full_authority_boundary_v5,unsafe_autonomy,0.068765,0.000351,10
combined_authority_stress,full_authority_boundary_v5,robust_utility,-0.177294,0.025600,10
combined_authority_stress,minus_boundary_uncertainty,task_success,0.300000,0.016517,10
combined_authority_stress,minus_boundary_uncertainty,safety_violation,0.282143,0.031555,10
combined_authority_stress,minus_boundary_uncertainty,authority_regret,0.367740,0.000613,10
combined_authority_stress,minus_boundary_uncertainty,human_burden,0.681753,0.001449,10
combined_authority_stress,minus_boundary_uncertainty,late_handoff,0.353912,0.000905,10
combined_authority_stress,minus_boundary_uncertainty,handoff_churn,0.477258,0.001131,10
combined_authority_stress,minus_boundary_uncertainty,recovery_success,0.555741,0.000704,10
combined_authority_stress,minus_boundary_uncertainty,intervention_cost,0.358118,0.000557,10
combined_authority_stress,minus_boundary_uncertainty,boundary_calibration_error,0.332236,0.000644,10
combined_authority_stress,minus_boundary_uncertainty,override_precision,0.454125,0.001220,10
