split,budget,reference,metric,mean_diff,lower95,upper95,n
combined_authority_stress,0.02,bayesian_authority_allocation,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,bayesian_authority_allocation,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,bayesian_authority_allocation,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,bayesian_authority_allocation,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,bayesian_authority_allocation,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,cbf_safety_filter,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,cbf_safety_filter,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,cbf_safety_filter,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,cbf_safety_filter,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,cbf_safety_filter,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,mpc_risk_arbitration,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,mpc_risk_arbitration,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,mpc_risk_arbitration,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,mpc_risk_arbitration,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,mpc_risk_arbitration,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,pomdp_handoff_policy,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,pomdp_handoff_policy,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,pomdp_handoff_policy,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,pomdp_handoff_policy,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,pomdp_handoff_policy,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,recovery_aware_mpc,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,recovery_aware_mpc,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,recovery_aware_mpc,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,recovery_aware_mpc,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.02,recovery_aware_mpc,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,bayesian_authority_allocation,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,bayesian_authority_allocation,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,bayesian_authority_allocation,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,bayesian_authority_allocation,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,bayesian_authority_allocation,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,cbf_safety_filter,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,cbf_safety_filter,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,cbf_safety_filter,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,cbf_safety_filter,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,cbf_safety_filter,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,mpc_risk_arbitration,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,mpc_risk_arbitration,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,mpc_risk_arbitration,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,mpc_risk_arbitration,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,mpc_risk_arbitration,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,pomdp_handoff_policy,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,pomdp_handoff_policy,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,pomdp_handoff_policy,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,pomdp_handoff_policy,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,pomdp_handoff_policy,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,recovery_aware_mpc,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,recovery_aware_mpc,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,recovery_aware_mpc,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,recovery_aware_mpc,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.05,recovery_aware_mpc,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,bayesian_authority_allocation,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,bayesian_authority_allocation,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,bayesian_authority_allocation,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,bayesian_authority_allocation,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,bayesian_authority_allocation,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,cbf_safety_filter,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,cbf_safety_filter,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,cbf_safety_filter,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,cbf_safety_filter,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,cbf_safety_filter,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,mpc_risk_arbitration,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,mpc_risk_arbitration,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,mpc_risk_arbitration,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,mpc_risk_arbitration,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,mpc_risk_arbitration,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,pomdp_handoff_policy,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,pomdp_handoff_policy,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,pomdp_handoff_policy,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,pomdp_handoff_policy,accepted_utility,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,pomdp_handoff_policy,coverage,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,recovery_aware_mpc,accepted_regret,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,recovery_aware_mpc,accepted_safety_violation,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,recovery_aware_mpc,accepted_success,0.000000,0.000000,0.000000,10
combined_authority_stress,0.10,recovery_aware_mpc,accepted_utility,0.000000,0.000000,0.000000,10
