method,metric,mean,ci95,n
authority_boundary_v4,task_success,0.303646,0.008607,10
authority_boundary_v4,safety_violation,0.243099,0.009885,10
authority_boundary_v4,authority_regret,0.348243,0.000303,10
authority_boundary_v4,human_burden,0.828841,0.000393,10
authority_boundary_v4,late_handoff,0.309464,0.000355,10
authority_boundary_v4,handoff_churn,0.439800,0.000477,10
authority_boundary_v4,recovery_success,0.556014,0.000427,10
authority_boundary_v4,intervention_cost,0.378847,0.000178,10
authority_boundary_v4,boundary_calibration_error,0.272363,0.000248,10
authority_boundary_v4,override_precision,0.494774,0.000406,10
authority_boundary_v4,unsafe_autonomy,0.050738,0.000057,10
authority_boundary_v4,robust_utility,-0.228752,0.012073,10
authority_boundary_v5,task_success,0.370964,0.011611,10
authority_boundary_v5,safety_violation,0.227344,0.010231,10
authority_boundary_v5,authority_regret,0.312491,0.000252,10
authority_boundary_v5,human_burden,0.675101,0.000582,10
authority_boundary_v5,late_handoff,0.294510,0.000414,10
authority_boundary_v5,handoff_churn,0.419952,0.000396,10
authority_boundary_v5,recovery_success,0.623529,0.000338,10
authority_boundary_v5,intervention_cost,0.364586,0.000242,10
authority_boundary_v5,boundary_calibration_error,0.262542,0.000234,10
authority_boundary_v5,override_precision,0.524740,0.000305,10
authority_boundary_v5,unsafe_autonomy,0.071698,0.000086,10
authority_boundary_v5,robust_utility,-0.094229,0.010926,10
bayesian_authority_allocation,task_success,0.316537,0.010837,10
bayesian_authority_allocation,safety_violation,0.249870,0.010723,10
bayesian_authority_allocation,authority_regret,0.332826,0.000210,10
bayesian_authority_allocation,human_burden,0.699228,0.000498,10
bayesian_authority_allocation,late_handoff,0.330142,0.000504,10
bayesian_authority_allocation,handoff_churn,0.409698,0.000576,10
bayesian_authority_allocation,recovery_success,0.543869,0.000402,10
bayesian_authority_allocation,intervention_cost,0.357084,0.000234,10
bayesian_authority_allocation,boundary_calibration_error,0.262158,0.000241,10
bayesian_authority_allocation,override_precision,0.484813,0.000233,10
bayesian_authority_allocation,unsafe_autonomy,0.072742,0.000125,10
bayesian_authority_allocation,robust_utility,-0.183589,0.013854,10
cbf_safety_filter,task_success,0.446484,0.010737,10
cbf_safety_filter,safety_violation,0.154036,0.009496,10
cbf_safety_filter,authority_regret,0.264116,0.000297,10
cbf_safety_filter,human_burden,0.293980,0.000538,10
cbf_safety_filter,late_handoff,0.282850,0.000487,10
cbf_safety_filter,handoff_churn,0.339902,0.000504,10
cbf_safety_filter,recovery_success,0.660268,0.000385,10
cbf_safety_filter,intervention_cost,0.210810,0.000288,10
cbf_safety_filter,boundary_calibration_error,0.252628,0.000306,10
cbf_safety_filter,override_precision,0.554715,0.000302,10
cbf_safety_filter,unsafe_autonomy,0.111279,0.000195,10
cbf_safety_filter,robust_utility,0.160094,0.008230,10
confidence_threshold_shared_control,task_success,0.162500,0.006554,10
confidence_threshold_shared_control,safety_violation,0.296354,0.010336,10
confidence_threshold_shared_control,authority_regret,0.439794,0.000283,10
confidence_threshold_shared_control,human_burden,0.849079,0.000401,10
confidence_threshold_shared_control,late_handoff,0.383564,0.000442,10
confidence_threshold_shared_control,handoff_churn,0.469872,0.000404,10
confidence_threshold_shared_control,recovery_success,0.350731,0.000394,10
confidence_threshold_shared_control,intervention_cost,0.364508,0.000228,10
confidence_threshold_shared_control,boundary_calibration_error,0.322229,0.000239,10
confidence_threshold_shared_control,override_precision,0.364792,0.000407,10
confidence_threshold_shared_control,unsafe_autonomy,0.060575,0.000079,10
confidence_threshold_shared_control,robust_utility,-0.461114,0.011190,10
controller_fusion_prior,task_success,0.086068,0.008982,10
controller_fusion_prior,safety_violation,0.370312,0.009367,10
controller_fusion_prior,authority_regret,0.560344,0.000242,10
controller_fusion_prior,human_burden,0.437624,0.000426,10
controller_fusion_prior,late_handoff,0.384810,0.000466,10
controller_fusion_prior,handoff_churn,0.439775,0.000263,10
controller_fusion_prior,recovery_success,0.205430,0.000318,10
controller_fusion_prior,intervention_cost,0.220459,0.000225,10
controller_fusion_prior,boundary_calibration_error,0.332280,0.000211,10
controller_fusion_prior,override_precision,0.264776,0.000389,10
controller_fusion_prior,unsafe_autonomy,0.252303,0.000209,10
controller_fusion_prior,robust_utility,-0.508596,0.013988,10
fixed_human_teleoperation,task_success,0.139974,0.008162,10
fixed_human_teleoperation,safety_violation,0.266536,0.014735,10
fixed_human_teleoperation,authority_regret,0.402806,0.000323,10
fixed_human_teleoperation,human_burden,0.999797,0.000035,10
fixed_human_teleoperation,late_handoff,0.400628,0.000441,10
fixed_human_teleoperation,handoff_churn,0.309822,0.000382,10
fixed_human_teleoperation,recovery_success,0.403702,0.000328,10
fixed_human_teleoperation,intervention_cost,0.454154,0.000209,10
fixed_human_teleoperation,boundary_calibration_error,0.302486,0.000310,10
fixed_human_teleoperation,override_precision,0.444943,0.000382,10
fixed_human_teleoperation,unsafe_autonomy,0.052947,0.000038,10
fixed_human_teleoperation,robust_utility,-0.480330,0.014657,10
fixed_policy_authority,task_success,0.018229,0.002218,10
fixed_policy_authority,safety_violation,0.418620,0.010674,10
fixed_policy_authority,authority_regret,0.632591,0.000292,10
fixed_policy_authority,human_burden,0.268310,0.000429,10
fixed_policy_authority,late_handoff,0.539350,0.000474,10
fixed_policy_authority,handoff_churn,0.319738,0.000571,10
fixed_policy_authority,recovery_success,0.008533,0.000193,10
fixed_policy_authority,intervention_cost,0.135284,0.000260,10
fixed_policy_authority,boundary_calibration_error,0.392382,0.000160,10
fixed_policy_authority,override_precision,0.045846,0.000249,10
fixed_policy_authority,unsafe_autonomy,0.402582,0.000149,10
fixed_policy_authority,robust_utility,-0.601368,0.007942,10
mpc_risk_arbitration,task_success,0.469010,0.008814,10
mpc_risk_arbitration,safety_violation,0.190625,0.007686,10
mpc_risk_arbitration,authority_regret,0.242851,0.000306,10
mpc_risk_arbitration,human_burden,0.339302,0.000446,10
mpc_risk_arbitration,late_handoff,0.267308,0.000470,10
mpc_risk_arbitration,handoff_churn,0.350205,0.000347,10
mpc_risk_arbitration,recovery_success,0.728856,0.000344,10
mpc_risk_arbitration,intervention_cost,0.278606,0.000214,10
mpc_risk_arbitration,boundary_calibration_error,0.232180,0.000391,10
mpc_risk_arbitration,override_precision,0.584683,0.000253,10
mpc_risk_arbitration,unsafe_autonomy,0.125328,0.000132,10
mpc_risk_arbitration,robust_utility,0.154332,0.011280,10
oracle_authority_assignment,task_success,0.552865,0.008526,10
oracle_authority_assignment,safety_violation,0.127474,0.006863,10
oracle_authority_assignment,authority_regret,0.188310,0.000298,10
oracle_authority_assignment,human_burden,0.383004,0.000491,10
oracle_authority_assignment,late_handoff,0.248764,0.000508,10
oracle_authority_assignment,handoff_churn,0.329923,0.000385,10
oracle_authority_assignment,recovery_success,0.852415,0.000275,10
oracle_authority_assignment,intervention_cost,0.303222,0.000327,10
oracle_authority_assignment,boundary_calibration_error,0.182271,0.000167,10
oracle_authority_assignment,override_precision,0.704644,0.000297,10
oracle_authority_assignment,unsafe_autonomy,0.077568,0.000107,10
oracle_authority_assignment,robust_utility,0.293310,0.010629,10
pomdp_handoff_policy,task_success,0.397135,0.012890,10
pomdp_handoff_policy,safety_violation,0.216146,0.008079,10
pomdp_handoff_policy,authority_regret,0.280288,0.000303,10
pomdp_handoff_policy,human_burden,0.523212,0.000430,10
pomdp_handoff_policy,late_handoff,0.292108,0.000376,10
pomdp_handoff_policy,handoff_churn,0.389702,0.000423,10
pomdp_handoff_policy,recovery_success,0.657708,0.000211,10
pomdp_handoff_policy,intervention_cost,0.339072,0.000270,10
pomdp_handoff_policy,boundary_calibration_error,0.242366,0.000280,10
pomdp_handoff_policy,override_precision,0.544996,0.000376,10
pomdp_handoff_policy,unsafe_autonomy,0.100358,0.000072,10
pomdp_handoff_policy,robust_utility,-0.007310,0.009984,10
recovery_aware_mpc,task_success,0.473698,0.008765,10
recovery_aware_mpc,safety_violation,0.201562,0.009097,10
recovery_aware_mpc,authority_regret,0.256739,0.000250,10
recovery_aware_mpc,human_burden,0.386433,0.000406,10
recovery_aware_mpc,late_handoff,0.263376,0.000502,10
recovery_aware_mpc,handoff_churn,0.359743,0.000332,10
recovery_aware_mpc,recovery_success,0.777439,0.000414,10
recovery_aware_mpc,intervention_cost,0.326342,0.000376,10
recovery_aware_mpc,boundary_calibration_error,0.242419,0.000249,10
recovery_aware_mpc,override_precision,0.574786,0.000219,10
recovery_aware_mpc,unsafe_autonomy,0.122828,0.000139,10
recovery_aware_mpc,robust_utility,0.136052,0.008920,10
uncertainty_triggered_handoff,task_success,0.279818,0.008391,10
uncertainty_triggered_handoff,safety_violation,0.226172,0.003425,10
uncertainty_triggered_handoff,authority_regret,0.354363,0.000257,10
uncertainty_triggered_handoff,human_burden,0.771848,0.000525,10
uncertainty_triggered_handoff,late_handoff,0.323108,0.000540,10
uncertainty_triggered_handoff,handoff_churn,0.499925,0.000346,10
uncertainty_triggered_handoff,recovery_success,0.499434,0.000316,10
uncertainty_triggered_handoff,intervention_cost,0.365392,0.000304,10
uncertainty_triggered_handoff,boundary_calibration_error,0.292477,0.000295,10
uncertainty_triggered_handoff,override_precision,0.464902,0.000398,10
uncertainty_triggered_handoff,unsafe_autonomy,0.054619,0.000119,10
uncertainty_triggered_handoff,robust_utility,-0.242516,0.008540,10
