reference,metric,mean_diff,ci95,lower95,upper95,n
authority_boundary_v4,authority_regret,-0.035752,0.000402,-0.036154,-0.035350,10
authority_boundary_v4,boundary_calibration_error,-0.009821,0.000281,-0.010102,-0.009540,10
authority_boundary_v4,handoff_churn,-0.019848,0.000324,-0.020172,-0.019525,10
authority_boundary_v4,human_burden,-0.153740,0.000459,-0.154199,-0.153281,10
authority_boundary_v4,intervention_cost,-0.014261,0.000251,-0.014512,-0.014011,10
authority_boundary_v4,late_handoff,-0.014954,0.000423,-0.015377,-0.014531,10
authority_boundary_v4,override_precision,0.029966,0.000548,0.029418,0.030514,10
authority_boundary_v4,recovery_success,0.067515,0.000580,0.066935,0.068094,10
authority_boundary_v4,robust_utility,0.134523,0.020270,0.114253,0.154793,10
authority_boundary_v4,safety_violation,-0.015755,0.014202,-0.029957,-0.001554,10
authority_boundary_v4,task_success,0.067318,0.016150,0.051168,0.083468,10
authority_boundary_v4,unsafe_autonomy,0.020960,0.000093,0.020867,0.021053,10
bayesian_authority_allocation,authority_regret,-0.020335,0.000319,-0.020654,-0.020015,10
bayesian_authority_allocation,boundary_calibration_error,0.000383,0.000223,0.000160,0.000607,10
bayesian_authority_allocation,handoff_churn,0.010254,0.000397,0.009857,0.010651,10
bayesian_authority_allocation,human_burden,-0.024127,0.000698,-0.024825,-0.023429,10
bayesian_authority_allocation,intervention_cost,0.007501,0.000302,0.007200,0.007803,10
bayesian_authority_allocation,late_handoff,-0.035632,0.000354,-0.035986,-0.035277,10
bayesian_authority_allocation,override_precision,0.039928,0.000408,0.039519,0.040336,10
bayesian_authority_allocation,recovery_success,0.079660,0.000569,0.079091,0.080230,10
bayesian_authority_allocation,robust_utility,0.089360,0.019819,0.069541,0.109179,10
bayesian_authority_allocation,safety_violation,-0.022526,0.018525,-0.041051,-0.004001,10
bayesian_authority_allocation,task_success,0.054427,0.016945,0.037482,0.071372,10
bayesian_authority_allocation,unsafe_autonomy,-0.001044,0.000136,-0.001181,-0.000908,10
cbf_safety_filter,authority_regret,0.048376,0.000409,0.047966,0.048785,10
cbf_safety_filter,boundary_calibration_error,0.009913,0.000293,0.009620,0.010207,10
cbf_safety_filter,handoff_churn,0.080050,0.000471,0.079578,0.080521,10
cbf_safety_filter,human_burden,0.381120,0.000535,0.380585,0.381656,10
cbf_safety_filter,intervention_cost,0.153776,0.000291,0.153485,0.154067,10
cbf_safety_filter,late_handoff,0.011660,0.000419,0.011241,0.012079,10
cbf_safety_filter,override_precision,-0.029975,0.000516,-0.030491,-0.029459,10
cbf_safety_filter,recovery_success,-0.036739,0.000469,-0.037208,-0.036270,10
cbf_safety_filter,robust_utility,-0.254322,0.010076,-0.264398,-0.244247,10
cbf_safety_filter,safety_violation,0.073307,0.009296,0.064011,0.082603,10
cbf_safety_filter,task_success,-0.075521,0.011898,-0.087418,-0.063623,10
cbf_safety_filter,unsafe_autonomy,-0.039581,0.000181,-0.039762,-0.039400,10
mpc_risk_arbitration,authority_regret,0.069640,0.000440,0.069200,0.070080,10
mpc_risk_arbitration,boundary_calibration_error,0.030362,0.000316,0.030046,0.030678,10
mpc_risk_arbitration,handoff_churn,0.069747,0.000304,0.069443,0.070051,10
mpc_risk_arbitration,human_burden,0.335799,0.000551,0.335248,0.336349,10
mpc_risk_arbitration,intervention_cost,0.085979,0.000373,0.085606,0.086353,10
mpc_risk_arbitration,late_handoff,0.027202,0.000249,0.026953,0.027451,10
mpc_risk_arbitration,override_precision,-0.059943,0.000296,-0.060238,-0.059647,10
mpc_risk_arbitration,recovery_success,-0.105327,0.000488,-0.105815,-0.104838,10
mpc_risk_arbitration,robust_utility,-0.248560,0.014935,-0.263495,-0.233626,10
mpc_risk_arbitration,safety_violation,0.036719,0.011367,0.025351,0.048086,10
mpc_risk_arbitration,task_success,-0.098047,0.016015,-0.114062,-0.082032,10
mpc_risk_arbitration,unsafe_autonomy,-0.053630,0.000155,-0.053785,-0.053475,10
pomdp_handoff_policy,authority_regret,0.032204,0.000441,0.031762,0.032645,10
pomdp_handoff_policy,boundary_calibration_error,0.020176,0.000268,0.019908,0.020444,10
pomdp_handoff_policy,handoff_churn,0.030250,0.000233,0.030017,0.030482,10
pomdp_handoff_policy,human_burden,0.151889,0.000469,0.151420,0.152358,10
pomdp_handoff_policy,intervention_cost,0.025514,0.000293,0.025221,0.025806,10
pomdp_handoff_policy,late_handoff,0.002402,0.000434,0.001969,0.002836,10
pomdp_handoff_policy,override_precision,-0.020256,0.000418,-0.020673,-0.019838,10
pomdp_handoff_policy,recovery_success,-0.034179,0.000405,-0.034584,-0.033774,10
pomdp_handoff_policy,robust_utility,-0.086919,0.014519,-0.101438,-0.072400,10
pomdp_handoff_policy,safety_violation,0.011198,0.015765,-0.004568,0.026963,10
pomdp_handoff_policy,task_success,-0.026172,0.018581,-0.044753,-0.007590,10
pomdp_handoff_policy,unsafe_autonomy,-0.028660,0.000128,-0.028788,-0.028531,10
recovery_aware_mpc,authority_regret,0.055752,0.000266,0.055486,0.056018,10
recovery_aware_mpc,boundary_calibration_error,0.020122,0.000335,0.019788,0.020457,10
recovery_aware_mpc,handoff_churn,0.060209,0.000413,0.059796,0.060622,10
recovery_aware_mpc,human_burden,0.288668,0.000573,0.288095,0.289241,10
recovery_aware_mpc,intervention_cost,0.038244,0.000378,0.037866,0.038622,10
recovery_aware_mpc,late_handoff,0.031134,0.000448,0.030686,0.031583,10
recovery_aware_mpc,override_precision,-0.050046,0.000345,-0.050391,-0.049701,10
recovery_aware_mpc,recovery_success,-0.153910,0.000469,-0.154379,-0.153441,10
recovery_aware_mpc,robust_utility,-0.230281,0.017162,-0.247443,-0.213119,10
recovery_aware_mpc,safety_violation,0.025781,0.015722,0.010059,0.041503,10
recovery_aware_mpc,task_success,-0.102734,0.018203,-0.120938,-0.084531,10
recovery_aware_mpc,unsafe_autonomy,-0.051130,0.000166,-0.051296,-0.050964,10
uncertainty_triggered_handoff,authority_regret,-0.041872,0.000291,-0.042162,-0.041581,10
uncertainty_triggered_handoff,boundary_calibration_error,-0.029935,0.000260,-0.030195,-0.029675,10
uncertainty_triggered_handoff,handoff_churn,-0.079973,0.000465,-0.080438,-0.079509,10
uncertainty_triggered_handoff,human_burden,-0.096747,0.000614,-0.097361,-0.096134,10
uncertainty_triggered_handoff,intervention_cost,-0.000806,0.000348,-0.001154,-0.000459,10
uncertainty_triggered_handoff,late_handoff,-0.028598,0.000328,-0.028926,-0.028269,10
uncertainty_triggered_handoff,override_precision,0.059838,0.000352,0.059486,0.060190,10
uncertainty_triggered_handoff,recovery_success,0.124095,0.000570,0.123525,0.124665,10
