variant,split,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_calibration_error,seeds,episodes_per_seed
observed_only_behavior_clone,nominal,0.5810,0.0044,0.4190,0.0044,0.0137,7,600
observed_only_behavior_clone,hidden_mode_shift,0.4057,0.0129,0.5943,0.0129,0.0150,7,600
observed_only_behavior_clone,embodiment_shift,0.4550,0.0083,0.5450,0.0083,0.0094,7,600
observed_only_behavior_clone,combined_stress,0.3391,0.0235,0.6609,0.0235,0.0255,7,600
data_augmentation_wam,nominal,0.6471,0.0230,0.3529,0.0230,0.0239,7,600
data_augmentation_wam,hidden_mode_shift,0.4957,0.0082,0.5043,0.0082,0.0094,7,600
data_augmentation_wam,embodiment_shift,0.5164,0.0199,0.4836,0.0199,0.0219,7,600
data_augmentation_wam,combined_stress,0.4205,0.0154,0.5795,0.0154,0.0148,7,600
scalar_uncertainty_planner,nominal,0.6836,0.0171,0.3164,0.0171,0.0171,7,600
scalar_uncertainty_planner,hidden_mode_shift,0.5840,0.0243,0.4160,0.0243,0.0292,7,600
scalar_uncertainty_planner,embodiment_shift,0.5802,0.0208,0.4198,0.0208,0.0213,7,600
scalar_uncertainty_planner,combined_stress,0.5093,0.0166,0.4907,0.0166,0.0185,7,600
ensemble_disagreement_planner,nominal,0.6995,0.0190,0.3005,0.0190,0.0198,7,600
ensemble_disagreement_planner,hidden_mode_shift,0.6024,0.0126,0.3976,0.0126,0.0125,7,600
ensemble_disagreement_planner,embodiment_shift,0.6226,0.0109,0.3774,0.0109,0.0155,7,600
ensemble_disagreement_planner,combined_stress,0.5476,0.0172,0.4524,0.0172,0.0230,7,600
conformal_risk_filter,nominal,0.7176,0.0172,0.2824,0.0172,0.0182,7,600
conformal_risk_filter,hidden_mode_shift,0.6128,0.0122,0.3872,0.0122,0.0137,7,600
conformal_risk_filter,embodiment_shift,0.6324,0.0164,0.3676,0.0164,0.0167,7,600
conformal_risk_filter,combined_stress,0.5655,0.0199,0.4345,0.0199,0.0180,7,600
proposed_branch_mechanism,nominal,0.7474,0.0131,0.2526,0.0131,0.0162,7,600
proposed_branch_mechanism,hidden_mode_shift,0.6857,0.0108,0.3143,0.0108,0.0119,7,600
proposed_branch_mechanism,embodiment_shift,0.7159,0.0154,0.2841,0.0154,0.0137,7,600
proposed_branch_mechanism,combined_stress,0.6705,0.0180,0.3295,0.0180,0.0159,7,600
oracle_branch_upper_bound,nominal,0.8112,0.0134,0.1888,0.0134,0.0142,7,600
oracle_branch_upper_bound,hidden_mode_shift,0.7588,0.0162,0.2412,0.0162,0.0162,7,600
oracle_branch_upper_bound,embodiment_shift,0.7838,0.0122,0.2162,0.0122,0.0109,7,600
oracle_branch_upper_bound,combined_stress,0.7507,0.0151,0.2493,0.0151,0.0149,7,600
