split,reference,metric,mean_diff,ci95,lower95,upper95,n
authority_churn_shift,authority_boundary_v4,authority_regret,-0.035543,0.000746,-0.036290,-0.034797,10
authority_churn_shift,authority_boundary_v4,boundary_calibration_error,-0.009800,0.000674,-0.010475,-0.009126,10
authority_churn_shift,authority_boundary_v4,handoff_churn,-0.019188,0.000808,-0.019996,-0.018380,10
authority_churn_shift,authority_boundary_v4,human_burden,-0.153698,0.000619,-0.154317,-0.153079,10
authority_churn_shift,authority_boundary_v4,intervention_cost,-0.014583,0.000475,-0.015058,-0.014108,10
authority_churn_shift,authority_boundary_v4,late_handoff,-0.014721,0.000790,-0.015511,-0.013930,10
authority_churn_shift,authority_boundary_v4,override_precision,0.030351,0.001368,0.028983,0.031720,10
authority_churn_shift,authority_boundary_v4,recovery_success,0.067499,0.001086,0.066413,0.068585,10
authority_churn_shift,authority_boundary_v4,robust_utility,0.125893,0.032385,0.093509,0.158278,10
authority_churn_shift,authority_boundary_v4,safety_violation,-0.003125,0.011905,-0.015030,0.008780,10
authority_churn_shift,authority_boundary_v4,task_success,0.066667,0.030237,0.036430,0.096904,10
authority_churn_shift,authority_boundary_v4,unsafe_autonomy,0.020849,0.000181,0.020667,0.021030,10
authority_churn_shift,bayesian_authority_allocation,authority_regret,-0.019951,0.000700,-0.020651,-0.019252,10
authority_churn_shift,bayesian_authority_allocation,boundary_calibration_error,0.000414,0.000434,-0.000020,0.000848,10
authority_churn_shift,bayesian_authority_allocation,handoff_churn,0.009871,0.001176,0.008695,0.011047,10
authority_churn_shift,bayesian_authority_allocation,human_burden,-0.023199,0.001150,-0.024349,-0.022049,10
authority_churn_shift,bayesian_authority_allocation,intervention_cost,0.006863,0.000688,0.006175,0.007552,10
authority_churn_shift,bayesian_authority_allocation,late_handoff,-0.035254,0.000647,-0.035902,-0.034607,10
authority_churn_shift,bayesian_authority_allocation,override_precision,0.040220,0.000784,0.039436,0.041005,10
authority_churn_shift,bayesian_authority_allocation,recovery_success,0.079381,0.000812,0.078569,0.080193,10
