stress_axis,stress_level,method,seed,n,task_success,safety_violation,authority_regret,human_burden,late_handoff,handoff_churn,recovery_success,intervention_cost,boundary_calibration_error,override_precision,unsafe_autonomy,robust_utility
authority_churn,0.00,authority_boundary_v5,0,120,0.291667,0.266667,0.327281,0.711662,0.344655,0.381159,0.611018,0.376293,0.282082,0.500530,0.066706,-0.215918
authority_churn,0.00,authority_boundary_v5,1,120,0.333333,0.233333,0.325218,0.710844,0.339683,0.374423,0.613596,0.373548,0.279831,0.506545,0.066370,-0.150788
authority_churn,0.00,authority_boundary_v5,2,120,0.266667,0.208333,0.326160,0.710866,0.341251,0.380332,0.611471,0.375154,0.284947,0.505414,0.066504,-0.203486
authority_churn,0.00,authority_boundary_v5,3,120,0.308333,0.216667,0.324212,0.710469,0.344111,0.379135,0.610980,0.375119,0.283604,0.504800,0.067178,-0.166753
authority_churn,0.00,authority_boundary_v5,4,120,0.300000,0.158333,0.325527,0.706481,0.339322,0.378489,0.613825,0.372570,0.281555,0.504461,0.068057,-0.136965
authority_churn,0.00,authority_boundary_v5,5,120,0.425000,0.191667,0.326559,0.709355,0.341451,0.380443,0.610131,0.374316,0.281955,0.502426,0.067169,-0.034624
authority_churn,0.00,authority_boundary_v5,6,120,0.333333,0.233333,0.324830,0.703792,0.336415,0.378950,0.610354,0.373212,0.278960,0.504510,0.067779,-0.149244
authority_churn,0.00,authority_boundary_v5,7,120,0.283333,0.225000,0.325744,0.706684,0.341392,0.377284,0.610496,0.373383,0.281021,0.507238,0.067834,-0.195602
authority_churn,0.00,authority_boundary_v5,8,120,0.291667,0.266667,0.326449,0.708654,0.339500,0.374843,0.612496,0.371521,0.282505,0.506904,0.067118,-0.212810
authority_churn,0.00,authority_boundary_v5,9,120,0.300000,0.291667,0.327720,0.712700,0.345772,0.380830,0.608219,0.375671,0.280664,0.501458,0.066351,-0.223744
authority_churn,0.00,bayesian_authority_allocation,0,120,0.208333,0.258333,0.346659,0.732900,0.376969,0.371716,0.532869,0.367714,0.282998,0.462860,0.067624,-0.313457
authority_churn,0.00,bayesian_authority_allocation,1,120,0.250000,0.233333,0.345624,0.732628,0.375942,0.365608,0.531850,0.365666,0.281734,0.465011,0.067388,-0.254946
authority_churn,0.00,bayesian_authority_allocation,2,120,0.291667,0.216667,0.344692,0.736366,0.377395,0.368989,0.530079,0.368463,0.281999,0.462772,0.066634,-0.204669
authority_churn,0.00,bayesian_authority_allocation,3,120,0.266667,0.200000,0.346255,0.733110,0.377625,0.371332,0.530072,0.369854,0.283757,0.464588,0.067166,-0.219403
authority_churn,0.00,bayesian_authority_allocation,4,120,0.250000,0.283333,0.344974,0.732547,0.376256,0.367691,0.530338,0.366797,0.280578,0.464447,0.067685,-0.286298
authority_churn,0.00,bayesian_authority_allocation,5,120,0.200000,0.258333,0.346044,0.734478,0.377662,0.368435,0.531794,0.367215,0.281791,0.463969,0.067252,-0.321768
authority_churn,0.00,bayesian_authority_allocation,6,120,0.358333,0.283333,0.346017,0.731650,0.373982,0.367875,0.531406,0.366871,0.281398,0.465046,0.067585,-0.177590
authority_churn,0.00,bayesian_authority_allocation,7,120,0.333333,0.283333,0.344454,0.734895,0.375696,0.366884,0.530602,0.367232,0.279984,0.465232,0.067148,-0.203234
authority_churn,0.00,bayesian_authority_allocation,8,120,0.216667,0.241667,0.343349,0.732167,0.372203,0.366065,0.535332,0.365746,0.280123,0.465332,0.067842,-0.291952
authority_churn,0.00,bayesian_authority_allocation,9,120,0.233333,0.183333,0.345564,0.736442,0.379358,0.369021,0.530238,0.368362,0.282480,0.463645,0.066857,-0.242867
authority_churn,0.00,cbf_safety_filter,0,120,0.400000,0.158333,0.275509,0.329759,0.330717,0.298870,0.647642,0.219989,0.274163,0.530505,0.109765,0.094847
authority_churn,0.00,cbf_safety_filter,1,120,0.441667,0.166667,0.275463,0.324485,0.328726,0.294758,0.649020,0.219758,0.269857,0.534419,0.109834,0.133570
authority_churn,0.00,cbf_safety_filter,2,120,0.425000,0.133333,0.275560,0.329231,0.329369,0.298379,0.649035,0.221057,0.272203,0.533006,0.109907,0.135741
authority_churn,0.00,cbf_safety_filter,3,120,0.391667,0.158333,0.275158,0.325122,0.332215,0.299209,0.648590,0.221012,0.271725,0.534296,0.110133,0.087408
authority_churn,0.00,cbf_safety_filter,4,120,0.375000,0.200000,0.276187,0.327921,0.327337,0.297310,0.649121,0.219985,0.272034,0.535406,0.109141,0.045132
authority_churn,0.00,cbf_safety_filter,5,120,0.433333,0.258333,0.276724,0.326707,0.330730,0.299443,0.647631,0.219358,0.273670,0.536099,0.110040,0.066600
authority_churn,0.00,cbf_safety_filter,6,120,0.416667,0.166667,0.275316,0.324628,0.325439,0.296632,0.649376,0.220221,0.271856,0.535525,0.109783,0.108855
authority_churn,0.00,cbf_safety_filter,7,120,0.425000,0.108333,0.277186,0.327476,0.329858,0.300222,0.651847,0.220289,0.271382,0.532295,0.109216,0.151257
authority_churn,0.00,cbf_safety_filter,8,120,0.450000,0.225000,0.275370,0.324478,0.328625,0.296717,0.649697,0.221177,0.272272,0.535815,0.109824,0.105455
authority_churn,0.00,cbf_safety_filter,9,120,0.400000,0.125000,0.278105,0.331696,0.333289,0.298238,0.647291,0.222550,0.272143,0.531977,0.109810,0.113780
authority_churn,0.00,confidence_threshold_shared_control,0,120,0.133333,0.358333,0.452900,0.885365,0.432076,0.431338,0.337211,0.374307,0.343119,0.341693,0.062138,-0.545892
authority_churn,0.00,confidence_threshold_shared_control,1,120,0.133333,0.291667,0.452639,0.880276,0.430718,0.423343,0.340734,0.375864,0.339056,0.347405,0.061716,-0.501969
authority_churn,0.00,confidence_threshold_shared_control,2,120,0.141667,0.425000,0.450142,0.885067,0.431155,0.430994,0.338163,0.373919,0.343969,0.343831,0.061825,-0.577828
authority_churn,0.00,confidence_threshold_shared_control,3,120,0.116667,0.275000,0.453503,0.886189,0.431259,0.429067,0.339286,0.374542,0.341413,0.347830,0.061996,-0.510695
authority_churn,0.00,confidence_threshold_shared_control,4,120,0.141667,0.275000,0.454571,0.886427,0.430355,0.429700,0.338595,0.374691,0.340604,0.345974,0.061824,-0.486021
authority_churn,0.00,confidence_threshold_shared_control,5,120,0.191667,0.333333,0.453794,0.884693,0.430049,0.428727,0.337498,0.375728,0.341666,0.345189,0.062174,-0.471603
authority_churn,0.00,confidence_threshold_shared_control,6,120,0.133333,0.316667,0.452399,0.880425,0.426594,0.429188,0.340134,0.373481,0.341254,0.343344,0.062093,-0.517297
authority_churn,0.00,confidence_threshold_shared_control,7,120,0.133333,0.350000,0.453158,0.883186,0.428270,0.424781,0.340925,0.374150,0.341328,0.347267,0.061879,-0.538559
authority_churn,0.00,confidence_threshold_shared_control,8,120,0.133333,0.308333,0.450625,0.881420,0.427429,0.425252,0.339132,0.374791,0.338259,0.343100,0.061775,-0.511798
authority_churn,0.00,confidence_threshold_shared_control,9,120,0.125000,0.283333,0.455660,0.886119,0.434808,0.429016,0.335793,0.374848,0.343643,0.343634,0.062238,-0.508923
authority_churn,0.00,mpc_risk_arbitration,0,120,0.450000,0.158333,0.254958,0.373367,0.315075,0.310773,0.716698,0.287763,0.253024,0.561700,0.123971,0.139341
authority_churn,0.00,mpc_risk_arbitration,1,120,0.450000,0.150000,0.253373,0.371587,0.314051,0.303897,0.716934,0.287770,0.250292,0.562106,0.123604,0.146338
authority_churn,0.00,mpc_risk_arbitration,2,120,0.483333,0.216667,0.254653,0.375640,0.312988,0.308680,0.716960,0.288012,0.253343,0.564693,0.122589,0.136619
authority_churn,0.00,mpc_risk_arbitration,3,120,0.466667,0.158333,0.255574,0.373875,0.316668,0.309671,0.715404,0.287600,0.252318,0.563837,0.123674,0.155521
authority_churn,0.00,mpc_risk_arbitration,4,120,0.408333,0.166667,0.256535,0.373469,0.312661,0.306216,0.718712,0.287122,0.251193,0.563851,0.124134,0.093247
authority_churn,0.00,mpc_risk_arbitration,5,120,0.533333,0.250000,0.254955,0.371900,0.315929,0.306844,0.716422,0.288755,0.251631,0.564299,0.123967,0.166407
authority_churn,0.00,mpc_risk_arbitration,6,120,0.433333,0.141667,0.254880,0.372435,0.310883,0.308578,0.717247,0.286709,0.249921,0.566366,0.124047,0.134334
authority_churn,0.00,mpc_risk_arbitration,7,120,0.458333,0.191667,0.254040,0.375062,0.314565,0.310302,0.716249,0.287949,0.251252,0.563764,0.123741,0.126913
authority_churn,0.00,mpc_risk_arbitration,8,120,0.441667,0.183333,0.254007,0.371273,0.313190,0.305031,0.718646,0.287562,0.249424,0.566473,0.123627,0.117414
authority_churn,0.00,mpc_risk_arbitration,9,120,0.458333,0.191667,0.256369,0.373912,0.317698,0.308975,0.716638,0.288562,0.251352,0.562891,0.124621,0.126235
authority_churn,0.00,pomdp_handoff_policy,0,120,0.383333,0.200000,0.293794,0.558023,0.340154,0.349723,0.643039,0.350280,0.264223,0.520282,0.097258,-0.028017
authority_churn,0.00,pomdp_handoff_policy,1,120,0.358333,0.208333,0.292001,0.554138,0.337659,0.343054,0.646247,0.347940,0.261530,0.526793,0.097694,-0.055113
authority_churn,0.00,pomdp_handoff_policy,2,120,0.341667,0.200000,0.293568,0.555416,0.339477,0.349561,0.646633,0.349528,0.263049,0.524707,0.097919,-0.068511
authority_churn,0.00,pomdp_handoff_policy,3,120,0.341667,0.300000,0.293769,0.558714,0.341318,0.346789,0.646836,0.349416,0.261434,0.523912,0.096723,-0.131287
authority_churn,0.00,pomdp_handoff_policy,4,120,0.400000,0.175000,0.292380,0.553112,0.338109,0.347129,0.648256,0.347198,0.261493,0.523082,0.097800,0.007046
